tag_id,species,date,level,field_name,prop_use,confidence
1907192D,BOBO,2023-07-12,95,blue_silo,0.40957495120994747,0.7554943915779393
1907192D,BOBO,2023-07-12,50,blue_silo,0.5876759099586024,0.7554943915779393
1907192D,BOBO,2023-07-12,95,bobolink,0.07445359868080062,0
1907192D,BOBO,2023-07-12,95,swale,0.3292634758955225,0.34219286215980393
1907192D,BOBO,2023-07-12,50,swale,0.21398718242346554,0.34219286215980393
1907192D,BOBO,2023-07-12,95,clydesdale,0.04031867532408372,0
1907192D,BOBO,2023-07-12,95,off_field,0.14638929888964566,NA
1907192D,BOBO,2023-07-12,50,off_field,0.19833690761793207,NA
1907192D,BOBO,2023-06-15,95,blue_silo,0.0533363631672595,0.7302660418742516
1907192D,BOBO,2023-06-15,50,blue_silo,0.0739165350650812,0.7302660418742516
1907192D,BOBO,2023-06-15,95,bobolink,0.519653320160153,0.675867927390403
1907192D,BOBO,2023-06-15,50,bobolink,0.6665191621468916,0.675867927390403
1907192D,BOBO,2023-06-15,95,retired,0.01671639642280368,0.1379120054927968
1907192D,BOBO,2023-06-15,95,pond,0.03576827813598178,0
1907192D,BOBO,2023-06-15,95,back_woods,0.11302142820211754,0.11274001236011597
1907192D,BOBO,2023-06-15,50,back_woods,0.024181095065568987,0.11274001236011597
1907192D,BOBO,2023-06-15,95,off_field,0.2615042139116845,NA
1907192D,BOBO,2023-06-15,50,off_field,0.23100816970708452,NA
1907192D,BOBO,2023-06-14,95,blue_silo,0.009573883308312615,0
1907192D,BOBO,2023-06-14,95,bobolink,0.5507096129963504,0.5013850657491573
1907192D,BOBO,2023-06-14,50,bobolink,0.5246157183165064,0.5013850657491573
1907192D,BOBO,2023-06-14,95,pond,0.07250626967121658,0
1907192D,BOBO,2023-06-14,95,off_field,0.3672102340241204,NA
1907192D,BOBO,2023-06-14,50,off_field,0.4753842816834936,NA
