tag_id,species,date,level,field_name,prop_use,confidence
522A4B07,EAME,2024-07-01,95,blue_silo,0.11059424736514442,0.3021769675266542
522A4B07,EAME,2024-07-01,50,blue_silo,0.0634110010884775,0.3021769675266542
522A4B07,EAME,2024-07-01,95,bobolink,0.7850261982688161,0.6026829785358928
522A4B07,EAME,2024-07-01,50,bobolink,0.8977259722371822,0.6026829785358928
522A4B07,EAME,2024-07-01,95,retired,0.025134669179989345,0.13167868833790458
522A4B07,EAME,2024-07-01,50,retired,0.006279996170343469,0.13167868833790458
522A4B07,EAME,2024-07-01,95,off_field,0.07321101692045635,NA
522A4B07,EAME,2024-07-01,50,off_field,0.03258303050399682,NA
522A4B07,EAME,2024-06-30,95,blue_silo,0.13251404939911096,0.172550964346259
522A4B07,EAME,2024-06-30,50,blue_silo,0.043427130849029015,0.172550964346259
522A4B07,EAME,2024-06-30,95,bobolink,0.36747733662446946,0.4349757966833208
522A4B07,EAME,2024-06-30,50,bobolink,0.30358301743914695,0.4349757966833208
522A4B07,EAME,2024-06-30,95,underhill,0.023656474374663942,0
522A4B07,EAME,2024-06-30,95,retired,0.39040237076236967,0.8359444218407658
522A4B07,EAME,2024-06-30,50,retired,0.6198286855489453,0.8359444218407658
522A4B07,EAME,2024-06-30,95,front_hay,0.014109484738012268,0
522A4B07,EAME,2024-06-30,95,off_field,0.07184028410137372,NA
522A4B07,EAME,2024-06-30,50,off_field,0.03316116616287868,NA
