tag_id,species,date,level,field_name,prop_use,confidence
55074B52,EAME,2025-06-16,95,bobolink,0.40124441294766877,0.8717278075670042
55074B52,EAME,2025-06-16,50,bobolink,0.6638799501242583,0.8717278075670042
55074B52,EAME,2025-06-16,95,front_hay,0.06733086602462128,0.1289305401959355
55074B52,EAME,2025-06-16,50,front_hay,0.01647667810914548,0.1289305401959355
55074B52,EAME,2025-06-16,95,entrance,0.03891720704677703,0
55074B52,EAME,2025-06-16,95,clydesdale,0.17849114951794634,0.6534144933292393
55074B52,EAME,2025-06-16,50,clydesdale,0.22136303692601672,0.6534144933292393
55074B52,EAME,2025-06-16,95,pond,0.10009939186218154,0
55074B52,EAME,2025-06-16,95,off_field,0.20460926630487583,NA
55074B52,EAME,2025-06-16,50,off_field,0.09828033484057952,NA
55074B52,EAME,2025-06-21,95,bobolink,0.5423863763828313,0.6919308554232759
55074B52,EAME,2025-06-21,50,bobolink,0.7118527553732797,0.6919308554232759
55074B52,EAME,2025-06-21,95,clydesdale,0.056578276815195,0.010344766122821028
55074B52,EAME,2025-06-21,95,pond,0.05950235984970763,0
55074B52,EAME,2025-06-21,95,off_field,0.33092464868369115,NA
55074B52,EAME,2025-06-21,50,off_field,0.287037075634574,NA
55074B52,EAME,2025-06-25,95,blue_silo,0.0074394022302382064,0
55074B52,EAME,2025-06-25,95,bobolink,0.7842876801660102,0.628398788920852
55074B52,EAME,2025-06-25,50,bobolink,0.9346926425781588,0.628398788920852
55074B52,EAME,2025-06-25,95,clydesdale,0.039809429673081626,0.16601847086324176
55074B52,EAME,2025-06-25,50,clydesdale,0.012534310732666051,0.16601847086324176
55074B52,EAME,2025-06-25,95,off_field,0.1684634879306699,NA
55074B52,EAME,2025-06-25,50,off_field,0.05277304668917516,NA
55074B52,EAME,2025-06-18,95,bobolink,0.5975188148631304,0.7625571253489145
55074B52,EAME,2025-06-18,50,bobolink,0.8653737696168813,0.7625571253489145
55074B52,EAME,2025-06-18,95,front_hay,0.007892712151552243,0
55074B52,EAME,2025-06-18,95,entrance,0.008340283451615334,0
55074B52,EAME,2025-06-18,95,clydesdale,0.12850793936249882,0.1915395585826753
55074B52,EAME,2025-06-18,50,clydesdale,0.046748555987455705,0.1915395585826753
55074B52,EAME,2025-06-18,95,pond,0.06091008746864852,0
55074B52,EAME,2025-06-18,95,off_field,0.19675609243425374,NA
