tag_id,species,date,level,field_name,prop_use,confidence
1978611E,EAME,2022-07-11,95,alfalfa,0.06600437293199143,0.2439976754514257
1978611E,EAME,2022-07-11,50,alfalfa,0.030564476159361923,0.2439976754514257
1978611E,EAME,2022-07-11,95,blue_silo,0.06653253498979513,0
1978611E,EAME,2022-07-11,95,swale,0.6271923320426288,0.7046039761752614
1978611E,EAME,2022-07-11,50,swale,0.8386956457334923,0.7046039761752614
1978611E,EAME,2022-07-11,95,pond,0.09903751889035277,0.36193744602328026
1978611E,EAME,2022-07-11,50,pond,0.06802864611419211,0.36193744602328026
1978611E,EAME,2022-07-11,95,back_woods,0.09681447109954885,0.15924786901881496
1978611E,EAME,2022-07-11,50,back_woods,0.02925987492319123,0.15924786901881496
1978611E,EAME,2022-07-11,95,off_field,0.044418770045683044,NA
1978611E,EAME,2022-07-11,50,off_field,0.033451357069762384,NA
1978611E,EAME,2022-07-02,95,blue_silo,0.18823951023571128,0.6646175173653763
1978611E,EAME,2022-07-02,50,blue_silo,0.23746129161339394,0.6646175173653763
1978611E,EAME,2022-07-02,95,bobolink,0.38575723076243895,0.6781575726059704
1978611E,EAME,2022-07-02,50,bobolink,0.4965408103785214,0.6781575726059704
1978611E,EAME,2022-07-02,95,swale,0.10528874397933419,0.32672430176427286
1978611E,EAME,2022-07-02,50,swale,0.06529405505431869,0.32672430176427286
1978611E,EAME,2022-07-02,95,retired,0.024051214952446432,0.09435551592055182
1978611E,EAME,2022-07-02,95,front_hay,0.01980419149838051,0
1978611E,EAME,2022-07-02,95,clydesdale,0.04191736840704397,0
1978611E,EAME,2022-07-02,95,pond,0.040372899078445906,0
1978611E,EAME,2022-07-02,95,off_field,0.19035927349482223,NA
1978611E,EAME,2022-07-02,50,off_field,0.19639644922866858,NA
1978611E,EAME,2022-07-07,95,alfalfa,0.07043590718858632,0.331907706487407
1978611E,EAME,2022-07-07,50,alfalfa,0.044418918049664705,0.331907706487407
1978611E,EAME,2022-07-07,95,blue_silo,0.03302311136995179,0
1978611E,EAME,2022-07-07,95,swale,0.49184566331966156,0.6038719603543943
1978611E,EAME,2022-07-07,50,swale,0.5643262314527377,0.6038719603543943
1978611E,EAME,2022-07-07,95,pond,0.1771269014631121,0.6148193843563748
1978611E,EAME,2022-07-07,50,pond,0.20691339384656895,0.6148193843563748
1978611E,EAME,2022-07-07,95,back_woods,0.1625544265516574,0.43118672439601474
1978611E,EAME,2022-07-07,50,back_woods,0.13317438763058168,0.43118672439601474
1978611E,EAME,2022-07-07,95,off_field,0.06111092291896567,NA
1978611E,EAME,2022-07-07,50,off_field,0.05116706902044687,NA
1978611E,EAME,2022-06-10,95,alfalfa,0.015683538834786244,0
1978611E,EAME,2022-06-10,95,blue_silo,0.13455560819807097,0.07073606792958255
1978611E,EAME,2022-06-10,50,blue_silo,0.01805556649804293,0.07073606792958255
1978611E,EAME,2022-06-10,95,swale,0.8092432961539583,0.6144225374039562
1978611E,EAME,2022-06-10,50,swale,0.9432235786716651,0.6144225374039562
1978611E,EAME,2022-06-10,95,off_field,0.04038161564983817,NA
1978611E,EAME,2022-06-10,50,off_field,0.038720854830292015,NA
1978611E,EAME,2022-06-25,95,blue_silo,0.13364862835018998,0.17249799486628375
1978611E,EAME,2022-06-25,50,blue_silo,0.04377667088205217,0.17249799486628375
1978611E,EAME,2022-06-25,95,bobolink,0.4678828577089312,0.8617068949335458
1978611E,EAME,2022-06-25,50,bobolink,0.765580522937022,0.8617068949335458
1978611E,EAME,2022-06-25,95,swale,0.15347754731634636,0.39983074625763565
1978611E,EAME,2022-06-25,50,swale,0.11652395372308413,0.39983074625763565
1978611E,EAME,2022-06-25,95,underhill,0.02010701403511014,0
1978611E,EAME,2022-06-25,95,retired,0.03779688757798452,0
1978611E,EAME,2022-06-25,95,front_hay,0.019533140110813328,0
